timestamp,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5
825.665000,-0.290185,0.336696,-0.023124,0.723789,3.054583,0.012189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000172,0.179210,-0.163614,-0.003337,0.002178,0.002251
825.667000,-0.290203,0.336709,-0.023120,0.723715,3.054600,0.012282,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065044,0.001153,-0.028584,-0.000331,-0.001735,0.011272
825.669000,-0.290208,0.336698,-0.023121,0.723703,3.054633,0.012249,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.323514,0.149112,-0.062034,0.001421,0.002203,0.006193
825.671000,-0.290191,0.336709,-0.023109,0.723741,3.054624,0.012247,-0.000546,-0.000242,-0.000004,-0.000897,0.002024,0.000007,0.292651,0.222191,-0.056333,0.006323,-0.001337,0.003267
825.673000,-0.290205,0.336694,-0.023112,0.723724,3.054639,0.012237,-0.000985,-0.000438,-0.000007,-0.001623,0.003651,0.000013,-0.079198,0.093308,0.018472,0.001600,-0.003905,0.003175
825.675000,-0.290200,0.336716,-0.023113,0.723799,3.054633,0.012292,-0.000770,-0.000672,-0.000120,-0.002494,0.002857,0.000002,-0.253780,-0.045065,-0.114555,0.000131,-0.003761,0.004923
825.677000,-0.290205,0.336719,-0.023113,0.723855,3.054622,0.012266,-0.000584,-0.000593,-0.000120,-0.002203,0.002168,-0.000001,-0.551511,-0.078975,0.011935,-0.006552,-0.004499,0.004372
825.679000,-0.290206,0.336697,-0.023109,0.723779,3.054625,0.012236,-0.000466,-0.000487,-0.000100,-0.001808,0.001731,-0.000001,-0.284278,-0.004200,-0.096279,-0.000640,-0.003102,0.004344
825.681000,-0.290206,0.336710,-0.023116,0.723778,3.054625,0.012237,-0.000346,-0.000392,-0.000085,-0.001456,0.001286,-0.000001,0.009396,0.209796,-0.203271,-0.000152,-0.000494,0.000301
825.683000,-0.290196,0.336692,-0.023118,0.723701,3.054623,0.012165,-0.000272,-0.000328,-0.000074,-0.001217,0.001010,-0.000002,0.341714,0.363622,-0.035250,-0.005668,0.001853,0.006397
825.685000,-0.290207,0.336704,-0.023117,0.723776,3.054613,0.012181,-0.000223,-0.000282,-0.000065,-0.001048,0.000829,-0.000002,0.201833,0.188300,-0.147349,-0.001473,-0.000501,0.001407
825.687000,-0.290214,0.336694,-0.023129,0.723722,3.054633,0.012194,-0.000189,-0.000248,-0.000058,-0.000922,0.000702,-0.000002,0.001987,0.203796,-0.123437,-0.009698,-0.000192,-0.003167
825.689000,-0.290205,0.336683,-0.023130,0.723696,3.054600,0.012146,-0.000164,-0.000222,-0.000053,-0.000823,0.000608,-0.000002,-0.520197,-0.007617,-0.167561,-0.004642,-0.005249,0.006243
825.691000,-0.290212,0.336688,-0.023116,0.723764,3.054643,0.012173,-0.000144,-0.000200,-0.000048,-0.000743,0.000536,-0.000002,-0.293625,-0.050282,-0.028214,-0.001151,-0.002684,0.002019
825.693000,-0.290194,0.336687,-0.023129,0.723754,3.054604,0.012151,-0.000129,-0.000183,-0.000044,-0.000678,0.000479,-0.000001,0.184638,0.034357,-0.098426,0.000130,0.005394,0.002971
825.695000,-0.290184,0.336704,-0.023127,0.723781,3.054555,0.012222,-0.000117,-0.000168,-0.000041,-0.000624,0.000433,-0.000001,0.215099,0.174201,-0.106706,0.000669,0.003344,-0.001466
825.697000,-0.290217,0.336689,-0.023121,0.723704,3.054637,0.012195,-0.000106,-0.000155,-0.000038,-0.000577,0.000395,-0.000001,0.156820,0.116748,-0.136466,-0.000872,-0.000828,0.000404
825.699000,-0.290187,0.336667,-0.023142,0.723704,3.054554,0.012151,-0.000098,-0.000145,-0.000036,-0.000538,0.000363,-0.000001,-0.274126,0.009011,-0.181660,0.002184,-0.003304,0.008929
825.701000,-0.290194,0.336709,-0.023112,0.723796,3.054612,0.012222,-0.000056,-0.000120,-0.000033,-0.000446,0.000207,-0.000002,0.034415,0.082788,-0.142255,-0.003152,0.002475,0.003870
825.703000,-0.290194,0.336716,-0.023108,0.723792,3.054596,0.012312,-0.000032,-0.000104,-0.000031,-0.000386,0.000118,-0.000002,0.183457,0.197683,0.025462,-0.003616,0.005556,0.001872
825.705000,-0.290189,0.336684,-0.023123,0.723751,3.054587,0.012148,-0.000028,-0.000097,-0.000030,-0.000362,0.000103,-0.000002,-0.199460,0.167977,-0.067342,0.000943,-0.005471,-0.001842
825.707000,-0.290213,0.336709,-0.023105,0.723670,3.054655,0.012279,-0.000025,-0.000092,-0.000028,-0.000342,0.000095,-0.000002,-0.058691,0.138344,-0.033591,0.000266,-0.004967,0.004410
825.709000,-0.290227,0.336708,-0.023099,0.723700,3.054702,0.012263,-0.000024,-0.000087,-0.000027,-0.000325,0.000088,-0.000002,0.054178,0.050076,-0.158251,0.002615,-0.000776,0.005578
825.711000,-0.290206,0.336677,-0.023122,0.723648,3.054642,0.012180,-0.000014,-0.000080,-0.000025,-0.000296,0.000054,-0.000002,-0.009680,-0.188171,-0.079428,0.007699,0.002205,0.009769
825.713000,-0.290203,0.336703,-0.023127,0.723755,3.054608,0.012192,-0.000008,-0.000074,-0.000024,-0.000274,0.000030,-0.000002,0.134690,0.205685,-0.013022,-0.008345,0.003011,0.004391
825.715000,-0.290212,0.336721,-0.023096,0.723805,3.054652,0.012245,-0.000004,-0.000069,-0.000023,-0.000257,0.000017,-0.000002,0.062584,0.330383,-0.087564,-0.006063,0.001853,0.002356
825.717000,-0.290203,0.336703,-0.023121,0.723778,3.054625,0.012238,-0.000002,-0.000065,-0.000022,-0.000243,0.000008,-0.000002,-0.319395,-0.068179,-0.066220,0.002120,-0.008213,0.006418
825.719000,-0.290193,0.336693,-0.023130,0.723692,3.054586,0.012211,-0.000000,-0.000062,-0.000021,-0.000230,0.000001,-0.000002,0.072936,0.117688,-0.222932,-0.001044,-0.003859,0.009927
825.721000,-0.290215,0.336702,-0.023113,0.723785,3.054649,0.012229,0.000001,-0.000059,-0.000021,-0.000220,-0.000004,-0.000001,0.657142,0.204572,-0.163190,0.000222,0.012191,-0.005055
825.723000,-0.290198,0.336674,-0.023128,0.723731,3.054588,0.012172,0.000002,-0.000056,-0.000020,-0.000210,-0.000008,-0.000001,0.007702,0.271681,-0.057293,-0.006529,0.001142,0.004453
825.725000,-0.290205,0.336691,-0.023119,0.723764,3.054647,0.012214,0.000003,-0.000054,-0.000019,-0.000201,-0.000011,-0.000001,-0.049796,0.064713,-0.070022,-0.004790,0.001521,0.000382
825.727000,-0.290211,0.336680,-0.023116,0.723763,3.054640,0.012199,0.000004,-0.000052,-0.000018,-0.000193,-0.000013,-0.000001,0.029896,0.013835,-0.146644,-0.000706,-0.000880,0.004186
825.729000,-0.290203,0.336689,-0.023115,0.723696,3.054600,0.012241,0.000004,-0.000050,-0.000018,-0.000186,-0.000015,-0.000001,0.048694,0.070431,0.018808,-0.002123,0.001609,0.006169
825.731000,-0.290206,0.336706,-0.023109,0.723779,3.054622,0.012263,0.000004,-0.000048,-0.000017,-0.000179,-0.000016,-0.000001,0.257380,0.156820,-0.073368,0.000114,0.005828,-0.000318
825.733000,-0.290215,0.336710,-0.023109,0.723729,3.054660,0.012256,0.000005,-0.000047,-0.000017,-0.000173,-0.000017,-0.000001,0.145660,0.124042,-0.140967,0.000273,0.002673,-0.000085
825.735000,-0.290198,0.336700,-0.023113,0.723715,3.054600,0.012283,0.000005,-0.000045,-0.000016,-0.000167,-0.000018,-0.000001,-0.046794,0.189163,0.022993,-0.002519,0.000575,0.001918
825.737000,-0.290201,0.336705,-0.023113,0.723768,3.054580,0.012267,0.000005,-0.000044,-0.000016,-0.000162,-0.000019,-0.000001,0.102377,0.280328,-0.196666,-0.008786,0.004521,0.005045
825.739000,-0.290199,0.336683,-0.023120,0.723736,3.054605,0.012178,0.000005,-0.000042,-0.000015,-0.000157,-0.000019,-0.000001,0.317519,-0.078241,-0.036476,-0.001282,0.007603,-0.004079
825.741000,-0.290198,0.336704,-0.023108,0.723719,3.054617,0.012287,0.000005,-0.000041,-0.000015,-0.000152,-0.000020,-0.000001,-0.219028,0.075495,-0.121803,-0.001410,-0.004186,0.001558
825.743000,-0.290175,0.336691,-0.023130,0.723784,3.054564,0.012211,0.000005,-0.000040,-0.000015,-0.000148,-0.000020,-0.000001,0.321973,0.268005,-0.067603,-0.005882,0.009032,0.002544
825.745000,-0.290202,0.336696,-0.023115,0.723740,3.054624,0.012249,0.000007,-0.000043,-0.000016,-0.000160,-0.000027,-0.000001,0.237317,0.094422,-0.155328,-0.001411,0.010215,0.001369
825.747000,-0.290203,0.336696,-0.023110,0.723779,3.054627,0.012211,0.000008,-0.000043,-0.000016,-0.000160,-0.000029,-0.000001,0.188182,0.190258,0.017346,-0.003591,0.007965,0.000016
825.749000,-0.290205,0.336700,-0.023113,0.723762,3.054638,0.012226,0.000008,-0.000042,-0.000016,-0.000156,-0.000029,-0.000001,0.032582,0.104752,-0.227685,-0.003628,0.001791,0.010280
825.751000,-0.290205,0.336710,-0.023117,0.723820,3.054637,0.012188,0.000008,-0.000041,-0.000015,-0.000152,-0.000029,-0.000001,0.086191,0.203400,-0.114956,-0.004615,0.003597,0.005561
825.753000,-0.290205,0.336725,-0.023107,0.723803,3.054643,0.012257,0.000008,-0.000040,-0.000015,-0.000149,-0.000029,-0.000001,0.029165,0.000158,0.018886,0.000867,0.001890,0.005614
825.755000,-0.290202,0.336694,-0.023128,0.723757,3.054617,0.012181,0.000008,-0.000039,-0.000015,-0.000145,-0.000029,-0.000001,0.063306,0.042503,-0.223576,0.000023,-0.000208,0.006593
825.757000,-0.290217,0.336687,-0.023110,0.723766,3.054650,0.012188,0.000008,-0.000038,-0.000014,-0.000142,-0.000028,-0.000001,0.482776,0.071149,-0.024051,-0.003577,0.011610,0.006855
825.759000,-0.290202,0.336707,-0.023124,0.723778,3.054626,0.012210,0.000008,-0.000037,-0.000014,-0.000138,-0.000028,-0.000001,0.415492,0.219512,-0.010435,-0.006271,0.007799,-0.003225
825.761000,-0.290204,0.336723,-0.023104,0.723804,3.054650,0.012271,0.000008,-0.000036,-0.000014,-0.000135,-0.000028,-0.000001,-0.065269,0.254430,-0.057200,-0.003008,-0.001338,0.007577
825.763000,-0.290185,0.336670,-0.023132,0.723749,3.054585,0.012174,0.000007,-0.000036,-0.000013,-0.000132,-0.000027,-0.000001,0.068801,0.024894,-0.072542,0.002637,-0.002518,0.006918
825.765000,-0.290200,0.336688,-0.023119,0.723776,3.054613,0.012182,0.000007,-0.000035,-0.000013,-0.000129,-0.000027,-0.000001,0.144470,0.224106,-0.129451,-0.007621,-0.002756,0.002779
825.767000,-0.290194,0.336666,-0.023137,0.723747,3.054570,0.012143,0.000007,-0.000034,-0.000013,-0.000127,-0.000027,-0.000001,-0.124720,0.107390,-0.183362,0.000217,-0.001876,-0.000913
825.769000,-0.290201,0.336704,-0.023123,0.723813,3.054604,0.012181,0.000007,-0.000033,-0.000013,-0.000124,-0.000027,-0.000001,0.162382,0.038904,0.102374,0.001302,0.001867,-0.002011
825.771000,-0.290201,0.336711,-0.023111,0.723775,3.054610,0.012208,0.000007,-0.000033,-0.000012,-0.000122,-0.000026,-0.000001,-0.070209,0.246695,-0.108018,-0.004311,0.000663,0.004589
